docid,source,sourcetype,target,targettype,type
0,Retrieval-Augmented Generation (Rag),Topic,Graphrag,Topic,RELATED_TO
0,Graphrag,Topic,Question Answering,Topic,RELATED_TO
0,Graphrag,Topic,Query-Based Summarization,Topic,RELATED_TO
0,Haoyu Han,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Harry Shomer,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Yu Wang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Yongjia Lei,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Kai Guo,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Zhigang Hua,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Bo Long,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Hui Liu,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Jiliang Tang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
1,Graphrag,Topic,Large Language Models,Topic,RELATED_TO
1,Graphrag,Topic,Natural Language Processing,Topic,RELATED_TO
1,Graphrag,Topic,Knowledge Gaps,Topic,RELATED_TO
1,Graphrag,Topic,Hallucinations,Topic,RELATED_TO
1,Graphrag,Topic,Structured Knowledge,Topic,RELATED_TO
1,Graphrag,Topic,External Graphs,Topic,RELATED_TO
1,Graphrag-Fi,Topic,Graphrag-Filtering,Topic,INCLUDES
1,Graphrag-Fi,Topic,Graphrag-Integration,Topic,INCLUDES
1,Graphrag-Filtering,Topic,Noisy And Irrelevant Information,Topic,RELATED_TO
1,Graphrag-Integration,Topic,External Knowledge,Topic,RELATED_TO
1,Graphrag-Integration,Topic,Intrinsic Reasoning,Topic,RELATED_TO
1,Graphrag-Fi,Topic,Reasoning Performance,Topic,RELATED_TO
1,Graphrag-Fi,Topic,Knowledge Graph Qa Tasks,Topic,RELATED_TO
1,Kai Guo,Author,Graphrag-Fi,Topic,AUTHORED
1,Harry Shomer,Author,Graphrag-Fi,Topic,AUTHORED
1,Shenglai Zeng,Author,Graphrag-Fi,Topic,AUTHORED
1,Haoyu Han,Author,Graphrag-Fi,Topic,AUTHORED
1,Yu Wang,Author,Graphrag-Fi,Topic,AUTHORED
1,Jiliang Tang,Author,Graphrag-Fi,Topic,AUTHORED
2,Large Language Models (Llms),Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
2,Retrieval-Augmented Generation (Rag),Topic,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,RELATED_TO
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Qinggang Zhang,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Shengyuan Chen,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Yuanchen Bei,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zheng Yuan,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Huachi Zhou,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zijin Hong,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Junnan Dong,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Hao Chen,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Yi Chang,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Xiao Huang,Author,AUTHORED
