title,summary,published,authors,pdf_url,category
Adaptive Pre-training Data Detection for Large Language Models via Surprising Tokens,"While large language models (LLMs) are extensively used, there are raising
concerns regarding privacy, security, and copyright due to their opaque
training data, which brings the problem of detecting pre-training data on the
table. Current solutions to this problem leverage techniques explored in
machine learning privacy such as Membership Inference Attacks (MIAs), which
heavily depend on LLMs' capability of verbatim memorization. However, this
reliance presents challenges, especially given the vast amount of training data
and the restricted number of effective training epochs. In this paper, we
propose an adaptive pre-training data detection method which alleviates this
reliance and effectively amplify the identification. Our method adaptively
locates \textit{surprising tokens} of the input. A token is surprising to a LLM
if the prediction on the token is ""certain but wrong"", which refers to low
Shannon entropy of the probability distribution and low probability of the
ground truth token at the same time. By using the prediction probability of
surprising tokens to measure \textit{surprising}, the detection method is
achieved based on the simple hypothesis that seeing seen data is less
surprising for the model compared with seeing unseen data. The method can be
applied without any access to the the pre-training data corpus or additional
training like reference models. Our approach exhibits a consistent enhancement
compared to existing methods in diverse experiments conducted on various
benchmarks and models, achieving a maximum improvement of 29.5\%. We also
introduce a new benchmark Dolma-Book developed upon a novel framework, which
employs book data collected both before and after model training to provide
further evaluation.",2024-07-30,"Anqi Zhang, Chaofeng Wu",http://arxiv.org/pdf/2407.21248v1,cs.CL
Advancing Vietnamese Visual Question Answering with Transformer and Convolutional Integration,"Visual Question Answering (VQA) has recently emerged as a potential research
domain, captivating the interest of many in the field of artificial
intelligence and computer vision. Despite the prevalence of approaches in
English, there is a notable lack of systems specifically developed for certain
languages, particularly Vietnamese. This study aims to bridge this gap by
conducting comprehensive experiments on the Vietnamese Visual Question
Answering (ViVQA) dataset, demonstrating the effectiveness of our proposed
model. In response to community interest, we have developed a model that
enhances image representation capabilities, thereby improving overall
performance in the ViVQA system. Specifically, our model integrates the
Bootstrapping Language-Image Pre-training with frozen unimodal models (BLIP-2)
and the convolutional neural network EfficientNet to extract and process both
local and global features from images. This integration leverages the strengths
of transformer-based architectures for capturing comprehensive contextual
information and convolutional networks for detailed local features. By freezing
the parameters of these pre-trained models, we significantly reduce the
computational cost and training time, while maintaining high performance. This
approach significantly improves image representation and enhances the
performance of existing VQA systems. We then leverage a multi-modal fusion
module based on a general-purpose multi-modal foundation model (BEiT-3) to fuse
the information between visual and textual features. Our experimental findings
demonstrate that our model surpasses competing baselines, achieving promising
performance. This is particularly evident in its accuracy of $71.04\%$ on the
test set of the ViVQA dataset, marking a significant advancement in our
research area. The code is available at https://github.com/nngocson2002/ViVQA.",2024-07-30,"Ngoc Son Nguyen, Van Son Nguyen, Tung Le",http://arxiv.org/pdf/2407.21229v1,cs.CL
GenRec: Generative Sequential Recommendation with Large Language Models,"Sequential recommendation is a task to capture hidden user preferences from
historical user item interaction data and recommend next items for the user.
Significant progress has been made in this domain by leveraging classification
based learning methods. Inspired by the recent paradigm of 'pretrain, prompt
and predict' in NLP, we consider sequential recommendation as a sequence to
sequence generation task and propose a novel model named Generative
Recommendation (GenRec). Unlike classification based models that learn explicit
user and item representations, GenRec utilizes the sequence modeling capability
of Transformer and adopts the masked item prediction objective to effectively
learn the hidden bidirectional sequential patterns. Different from existing
generative sequential recommendation models, GenRec does not rely on manually
designed hard prompts. The input to GenRec is textual user item sequence and
the output is top ranked next items. Moreover, GenRec is lightweight and
requires only a few hours to train effectively in low-resource settings, making
it highly applicable to real-world scenarios and helping to democratize large
language models in the sequential recommendation domain. Our extensive
experiments have demonstrated that GenRec generalizes on various public
real-world datasets and achieves state-of-the-art results. Our experiments also
validate the effectiveness of the the proposed masked item prediction objective
that improves the model performance by a large margin.",2024-07-30,"Panfeng Cao, Pietro Lio",http://arxiv.org/pdf/2407.21191v2,cs.CL
Decomposed Prompting to Answer Questions on a Course Discussion Board,"We propose and evaluate a question-answering system that uses decomposed
prompting to classify and answer student questions on a course discussion
board. Our system uses a large language model (LLM) to classify questions into
one of four types: conceptual, homework, logistics, and not answerable. This
enables us to employ a different strategy for answering questions that fall
under different types. Using a variant of GPT-3, we achieve $81\%$
classification accuracy. We discuss our system's performance on answering
conceptual questions from a machine learning course and various failure modes.",2024-07-30,"Brandon Jaipersaud, Paul Zhang, Jimmy Ba, Andrew Petersen, Lisa Zhang, Michael R. Zhang",http://arxiv.org/pdf/2407.21170v1,cs.CL
Event-Arguments Extraction Corpus and Modeling using BERT for Arabic,"Event-argument extraction is a challenging task, particularly in Arabic due
to sparse linguistic resources. To fill this gap, we introduce the \hadath
corpus ($550$k tokens) as an extension of Wojood, enriched with event-argument
annotations. We used three types of event arguments: $agent$, $location$, and
$date$, which we annotated as relation types. Our inter-annotator agreement
evaluation resulted in $82.23\%$ $Kappa$ score and $87.2\%$ $F_1$-score.
Additionally, we propose a novel method for event relation extraction using
BERT, in which we treat the task as text entailment. This method achieves an
$F_1$-score of $94.01\%$. To further evaluate the generalization of our
proposed method, we collected and annotated another out-of-domain corpus (about
$80$k tokens) called \testNLI and used it as a second test set, on which our
approach achieved promising results ($83.59\%$ $F_1$-score). Last but not
least, we propose an end-to-end system for event-arguments extraction. This
system is implemented as part of SinaTools, and both corpora are publicly
available at {\small \url{https://sina.birzeit.edu/wojood}}",2024-07-30,"Alaa Aljabari, Lina Duaibes, Mustafa Jarrar, Mohammed Khalilia",http://arxiv.org/pdf/2407.21153v1,cs.CL
Enhancing Semantic Similarity Understanding in Arabic NLP with Nested Embedding Learning,"This work presents a novel framework for training Arabic nested embedding
models through Matryoshka Embedding Learning, leveraging multilingual,
Arabic-specific, and English-based models, to highlight the power of nested
embeddings models in various Arabic NLP downstream tasks. Our innovative
contribution includes the translation of various sentence similarity datasets
into Arabic, enabling a comprehensive evaluation framework to compare these
models across different dimensions. We trained several nested embedding models
on the Arabic Natural Language Inference triplet dataset and assessed their
performance using multiple evaluation metrics, including Pearson and Spearman
correlations for cosine similarity, Manhattan distance, Euclidean distance, and
dot product similarity. The results demonstrate the superior performance of the
Matryoshka embedding models, particularly in capturing semantic nuances unique
to the Arabic language. Results demonstrated that Arabic Matryoshka embedding
models have superior performance in capturing semantic nuances unique to the
Arabic language, significantly outperforming traditional models by up to
20-25\% across various similarity metrics. These results underscore the
effectiveness of language-specific training and highlight the potential of
Matryoshka models in enhancing semantic textual similarity tasks for Arabic
NLP.",2024-07-30,"Omer Nacar, Anis Koubaa",http://arxiv.org/pdf/2407.21139v2,cs.CL
LLMs for Enhanced Agricultural Meteorological Recommendations,"Agricultural meteorological recommendations are crucial for enhancing crop
productivity and sustainability by providing farmers with actionable insights
based on weather forecasts, soil conditions, and crop-specific data. This paper
presents a novel approach that leverages large language models (LLMs) and
prompt engineering to improve the accuracy and relevance of these
recommendations. We designed a multi-round prompt framework to iteratively
refine recommendations using updated data and feedback, implemented on ChatGPT,
Claude2, and GPT-4. Our method was evaluated against baseline models and a
Chain-of-Thought (CoT) approach using manually collected datasets. The results
demonstrate significant improvements in accuracy and contextual relevance, with
our approach achieving up to 90\% accuracy and high GPT-4 scores. Additional
validation through real-world pilot studies further confirmed the practical
benefits of our method, highlighting its potential to transform agricultural
practices and decision-making.",2024-07-30,"Ji-jun Park, Soo-joon Choi",http://arxiv.org/pdf/2408.04640v1,cs.CL
ThinK: Thinner Key Cache by Query-Driven Pruning,"Large Language Models (LLMs) have revolutionized the field of natural
language processing, achieving unprecedented performance across a variety of
applications. However, their increased computational and memory demands present
significant challenges, especially when handling long sequences. This paper
focuses on the long-context scenario, addressing the inefficiencies in KV cache
memory consumption during inference. Unlike existing approaches that optimize
the memory based on the sequence length, we identify substantial redundancy in
the channel dimension of the KV cache, as indicated by an uneven magnitude
distribution and a low-rank structure in the attention weights. In response, we
propose ThinK, a novel query-dependent KV cache pruning method designed to
minimize attention weight loss while selectively pruning the least significant
channels. Our approach not only maintains or enhances model accuracy but also
achieves a reduction in KV cache memory costs by over 20% compared with vanilla
KV cache eviction and quantization methods. For instance, ThinK integrated with
KIVI can achieve a 2.8x reduction in peak memory usage while maintaining nearly
the same quality, enabling up to a 5x increase in batch size when using a
single GPU. Extensive evaluations on the LLaMA and Mistral models across
various long-sequence datasets verified the efficiency of ThinK, establishing a
new baseline algorithm for efficient LLM deployment without compromising
performance. Our code has been made available at
https://github.com/SalesforceAIResearch/ThinK.",2024-07-30,"Yuhui Xu, Zhanming Jie, Hanze Dong, Lei Wang, Xudong Lu, Aojun Zhou, Amrita Saha, Caiming Xiong, Doyen Sahoo",http://arxiv.org/pdf/2407.21018v3,cs.CL
Evolver: Chain-of-Evolution Prompting to Boost Large Multimodal Models for Hateful Meme Detection,"Recent advances show that two-stream approaches have achieved outstanding
performance in hateful meme detection. However, hateful memes constantly evolve
as new memes emerge by fusing progressive cultural ideas, making existing
methods obsolete or ineffective. In this work, we explore the potential of
Large Multimodal Models (LMMs) for hateful meme detection. To this end, we
propose Evolver, which incorporates LMMs via Chain-of-Evolution (CoE)
Prompting, by integrating the evolution attribute and in-context information of
memes. Specifically, Evolver simulates the evolving and expressing process of
memes and reasons through LMMs in a step-by-step manner. First, an evolutionary
pair mining module retrieves the top-k most similar memes in the external
curated meme set with the input meme. Second, an evolutionary information
extractor is designed to summarize the semantic regularities between the paired
memes for prompting. Finally, a contextual relevance amplifier enhances the
in-context hatefulness information to boost the search for evolutionary
processes. Extensive experiments on public FHM, MAMI, and HarM datasets show
that CoE prompting can be incorporated into existing LMMs to improve their
performance. More encouragingly, it can serve as an interpretive tool to
promote the understanding of the evolution of social memes. [Homepage]
(https://github.com/inFaaa/Evolver)",2024-07-30,"Jinfa Huang, Jinsheng Pan, Zhongwei Wan, Hanjia Lyu, Jiebo Luo",http://arxiv.org/pdf/2407.21004v3,cs.CL
From Feature Importance to Natural Language Explanations Using LLMs with RAG,"As machine learning becomes increasingly integral to autonomous
decision-making processes involving human interaction, the necessity of
comprehending the model's outputs through conversational means increases. Most
recently, foundation models are being explored for their potential as post hoc
explainers, providing a pathway to elucidate the decision-making mechanisms of
predictive models. In this work, we introduce traceable question-answering,
leveraging an external knowledge repository to inform the responses of Large
Language Models (LLMs) to user queries within a scene understanding task. This
knowledge repository comprises contextual details regarding the model's output,
containing high-level features, feature importance, and alternative
probabilities. We employ subtractive counterfactual reasoning to compute
feature importance, a method that entails analysing output variations resulting
from decomposing semantic features. Furthermore, to maintain a seamless
conversational flow, we integrate four key characteristics - social, causal,
selective, and contrastive - drawn from social science research on human
explanations into a single-shot prompt, guiding the response generation
process. Our evaluation demonstrates that explanations generated by the LLMs
encompassed these elements, indicating its potential to bridge the gap between
complex model outputs and natural language expressions.",2024-07-30,"Sule Tekkesinoglu, Lars Kunze",http://arxiv.org/pdf/2407.20990v1,cs.CL
