docid,source,sourcetype,target,targettype,type
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Haoyu Han,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Harry Shomer,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Yu Wang,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Yongjia Lei,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Kai Guo,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Zhigang Hua,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Bo Long,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Hui Liu,Author,AUTHORED
0,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Jiliang Tang,Author,AUTHORED
1,Graphrag-Fi,Topic,Graphrag-Filtering,Topic,INCLUDES
1,Graphrag-Fi,Topic,Graphrag-Integration,Topic,INCLUDES
1,Graphrag-Integration,Topic,Large Language Models,Topic,RELATED_TO
1,Graphrag-Integration,Topic,Natural Language Processing,Topic,RELATED_TO
1,Graphrag-Integration,Topic,Knowledge Gaps,Topic,RELATED_TO
1,Graphrag-Integration,Topic,Hallucinations,Topic,RELATED_TO
1,Graphrag,Topic,Graph Retrieval-Augmented Generation,Topic,COVERS
1,Graphrag-Fi,Topic,Kai Guo,Author,AUTHORED
1,Graphrag-Fi,Topic,Harry Shomer,Author,AUTHORED
1,Graphrag-Fi,Topic,Shenglai Zeng,Author,AUTHORED
1,Graphrag-Fi,Topic,Haoyu Han,Author,AUTHORED
1,Graphrag-Fi,Topic,Yu Wang,Author,AUTHORED
1,Graphrag-Fi,Topic,Jiliang Tang,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
2,Large Language Models (Llms),Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Large Language Models (Llms),Topic,RELATED_TO
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Qinggang Zhang,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Shengyuan Chen,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Yuanchen Bei,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zheng Yuan,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Huachi Zhou,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zijin Hong,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Junnan Dong,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Hao Chen,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Yi Chang,Author,AUTHORED
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Xiao Huang,Author,AUTHORED
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper,Graphrag,Topic,RELATED_TO
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper,Pike-Rag,Topic,RELATED_TO
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper,Mine Dataset,Topic,INCLUDES
4,Gfm-Rag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
4,Gfm-Rag,Topic,Graphrag,Topic,RELATED_TO
4,Gfm-Rag,Topic,Gfm,Topic,RELATED_TO
4,Gfm-Rag,Topic,Graph Neural Network,Topic,RELATED_TO
4,Gfm-Rag,Topic,Knowledge Graphs,Topic,RELATED_TO
4,Gfm-Rag,Topic,Multi-Hop Qa Datasets,Topic,RELATED_TO
4,Gfm-Rag,Topic,Domain-Specific Rag Datasets,Topic,RELATED_TO
4,Gfm-Rag,Topic,Linhao Luo,Author,AUTHORED
4,Gfm-Rag,Topic,Zicheng Zhao,Author,AUTHORED
4,Gfm-Rag,Topic,Gholamreza Haffari,Author,AUTHORED
4,Gfm-Rag,Topic,Dinh Phung,Author,AUTHORED
4,Gfm-Rag,Topic,Chen Gong,Author,AUTHORED
4,Gfm-Rag,Topic,Shirui Pan,Author,AUTHORED
5,Large Language Models,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
5,Retrieval-Augmented Generation,Topic,Graphrag,Topic,RELATED_TO
5,Graphrag,Topic,Knowledge Graphs,Topic,RELATED_TO
5,Graphrag,Topic,Graphraft,Topic,RELATED_TO
5,Graphraft,Topic,Alfred Clemedtson,Author,AUTHORED
5,Graphraft,Topic,Borun Shi,Author,AUTHORED
6,Fg-Rag,Paper,Retrieval-Augmented Generation,Topic,RELATED_TO
6,Fg-Rag,Paper,Query-Focused Summarization,Topic,RELATED_TO
6,Fg-Rag,Paper,Graphrag,Topic,RELATED_TO
6,Fg-Rag,Paper,Context-Aware Fine-Grained Graph Rag,Topic,RELATED_TO
6,Fg-Rag,Paper,Context-Aware Entity Expansion,Topic,RELATED_TO
6,Fg-Rag,Paper,Query-Level Fine-Grained Summarization,Topic,RELATED_TO
7,Graph Retrieval-Augmented Generation: A Survey,Paper,Retrieval-Augmented Generation,Topic,COVERS
7,Graph Retrieval-Augmented Generation: A Survey,Paper,Large Language Models,Topic,RELATED_TO
7,Graph Retrieval-Augmented Generation: A Survey,Paper,Graphrag,Topic,COVERS
8,Graphrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
8,Graphrag,Topic,Graph,Topic,RELATED_TO
8,Graphrag Survey,Paper,Graphrag,Topic,COVERS
8,Graphrag Survey,Paper,Haoyu Han,Author,AUTHORED
8,Graphrag Survey,Paper,Yu Wang,Author,AUTHORED
8,Graphrag Survey,Paper,Harry Shomer,Author,AUTHORED
8,Graphrag Survey,Paper,Kai Guo,Author,AUTHORED
8,Graphrag Survey,Paper,Jiayuan Ding,Author,AUTHORED
8,Graphrag Survey,Paper,Yongjia Lei,Author,AUTHORED
8,Graphrag Survey,Paper,Mahantesh Halappanavar,Author,AUTHORED
8,Graphrag Survey,Paper,Ryan A Rossi,Author,AUTHORED
8,Graphrag Survey,Paper,Subhabrata Mukherjee,Author,AUTHORED
8,Graphrag Survey,Paper,Xianfeng Tang,Author,AUTHORED
8,Graphrag Survey,Paper,Qi He,Author,AUTHORED
8,Graphrag Survey,Paper,Zhigang Hua,Author,AUTHORED
8,Graphrag Survey,Paper,Bo Long,Author,AUTHORED
8,Graphrag Survey,Paper,Tong Zhao,Author,AUTHORED
8,Graphrag Survey,Paper,Neil Shah,Author,AUTHORED
8,Graphrag Survey,Paper,Amin Javari,Author,AUTHORED
8,Graphrag Survey,Paper,Yinglong Xia,Author,AUTHORED
8,Graphrag Survey,Paper,Jiliang Tang,Author,AUTHORED
9,Graphrag,Topic,Large Language Models,Topic,RELATED_TO
9,Graphrag,Topic,Databases,Topic,RELATED_TO
9,Graphrag,Topic,Natural Language Processing,Topic,RELATED_TO
9,Lego-Graphrag,Topic,Graphrag,Topic,COVERS
9,Lego-Graphrag,Topic,Workflow Analysis,Topic,INCLUDES
9,Lego-Graphrag,Topic,Solution Frameworks,Topic,INCLUDES
9,Lego-Graphrag,Topic,Empirical Studies,Topic,INCLUDES
9,Lego-Graphrag,Topic,Reasoning Quality,Topic,RELATED_TO
9,Lego-Graphrag,Topic,Runtime Efficiency,Topic,RELATED_TO
9,Lego-Graphrag,Topic,Token Or Gpu Cost,Topic,RELATED_TO
9,Yukun Cao,Author,Lego-Graphrag,Topic,AUTHORED
9,Zengyi Gao,Author,Lego-Graphrag,Topic,AUTHORED
9,Zhiyang Li,Author,Lego-Graphrag,Topic,AUTHORED
9,Xike Xie,Author,Lego-Graphrag,Topic,AUTHORED
9,Kevin Zhou,Author,Lego-Graphrag,Topic,AUTHORED
9,Jianliang Xu,Author,Lego-Graphrag,Topic,AUTHORED
10,Knowledge Graphs,Topic,Graphrags,Topic,RELATED_TO
10,Graphrags,Topic,Retrieval-Augmented Generative Systems,Topic,RELATED_TO
10,Gpt-4,Author,High-Quality Kgs,Topic,AUTHORED
10,Llama 2 (13B),Author,High-Quality Kgs,Topic,AUTHORED
